"Series";"Time";"Value"
"tpsrv010.cern.ch";"2019-08-12T14:00:00+02:00";79654854.04777777
"tpsrv010.cern.ch";"2019-08-12T14:30:00+02:00";125666059.98888889
"tpsrv010.cern.ch";"2019-08-12T15:00:00+02:00";59961125.40888889
"tpsrv010.cern.ch";"2019-08-12T15:30:00+02:00";86704887.50666666
"tpsrv010.cern.ch";"2019-08-12T16:00:00+02:00";78448678.75555556
"tpsrv010.cern.ch";"2019-08-12T16:30:00+02:00";33976864.38666666
"tpsrv010.cern.ch";"2019-08-12T17:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T17:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T18:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T18:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T19:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T19:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T20:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T20:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T21:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T21:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T22:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T22:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T23:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-12T23:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-13T00:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-13T00:30:00+02:00";230687.33444444445
"tpsrv010.cern.ch";"2019-08-13T01:00:00+02:00";34462840.43666667
"tpsrv010.cern.ch";"2019-08-13T01:30:00+02:00";221296658.01666668
"tpsrv010.cern.ch";"2019-08-13T02:00:00+02:00";278562896.08444446
"tpsrv010.cern.ch";"2019-08-13T02:30:00+02:00";265190581.25111112
"tpsrv010.cern.ch";"2019-08-13T03:00:00+02:00";252532615.4511111
"tpsrv010.cern.ch";"2019-08-13T03:30:00+02:00";261761097.74
"tpsrv010.cern.ch";"2019-08-13T04:00:00+02:00";92290396.64888889
"tpsrv010.cern.ch";"2019-08-13T04:30:00+02:00";167458578.73222223
"tpsrv010.cern.ch";"2019-08-13T05:00:00+02:00";170037240.7477778
"tpsrv010.cern.ch";"2019-08-13T05:30:00+02:00";257192879.84
"tpsrv010.cern.ch";"2019-08-13T06:00:00+02:00";273731069.54
"tpsrv010.cern.ch";"2019-08-13T06:30:00+02:00";239305934.69777778
"tpsrv010.cern.ch";"2019-08-13T07:00:00+02:00";252626985.17555556
