"Time";"tpsrv010.cern.ch";"tpsrv011.cern.ch";"tpsrv012.cern.ch";"tpsrv013.cern.ch";"tpsrv103.cern.ch";"tpsrv104.cern.ch";"tpsrv108.cern.ch";"tpsrv109.cern.ch";"tpsrv112.cern.ch";"tpsrv113.cern.ch";"tpsrv114.cern.ch";"tpsrv115.cern.ch";"tpsrv116.cern.ch";"tpsrv117.cern.ch";"tpsrv118.cern.ch";"tpsrv119.cern.ch";"tpsrv210.cern.ch";"tpsrv211.cern.ch";"tpsrv213.cern.ch";"tpsrv221.cern.ch";"tpsrv222.cern.ch";"tpsrv223.cern.ch";"tpsrv224.cern.ch";"tpsrv410.cern.ch"
"2019-08-10T09:00:00";201626808.76777777;18795287.535555556;;;;;;;;252145223.79777777;;;;;;;;;;268965218.33111113;284523268.6311111;258313273.39777777;;
"2019-08-10T09:30:00";217261902.76333332;47024118.26;;;;;;;;228288731.4977778;;;;;0.25333333333333335;;;;;253486692.9422222;272359744.9822222;263728083.27333334;;
"2019-08-10T10:00:00";198059264.56111112;202305629.40333334;;;;;;;;263640116.60222223;;;;;;;;;;263913635.75777778;268639865.48;264753374.08222222;;
"2019-08-10T10:30:00";186006280.03444445;194415991.43;15690434.714444444;31350577.096666668;;;;;;256501097.12444445;;;;;;;;;;262840424.57333332;244635699.61777776;229960645.58666667;;
"2019-08-10T11:00:00";206265812.63222224;214308074.93666667;130166851.50777778;156346995.45222223;;;;;;252362508.1088889;;;;;;;;;;251097940.68888888;244790650.42222223;278900484.3111111;;
"2019-08-10T11:30:00";184451887.3211111;207504314.73;86139084.24111111;165575917.0488889;;;;;;243303544.78;;;;;;;;;;304455404.3755556;243861483.64444444;273561986.7822222;;
"2019-08-10T12:00:00";179721135.5688889;169402695.67;139790888.1988889;164369891.38666666;;;;;;237240499.59111112;;;;;;;;;;281347489.9688889;226883611.96;282527304.45111114;;
"2019-08-10T12:30:00";182970315.34555554;183471601.12222221;152753383.8311111;153749835.2;;;;;;236051512.0622222;;;;;;;;;;263226505.59777778;233913253.7688889;263468122.54222223;;
"2019-08-10T13:00:00";190013941.5411111;174265689.58333334;173797900.17;147927383.89444444;;;;;;223686860.57333332;;;;;;;;;;237868926.46;230527758.84;250334503.0488889;;
"2019-08-10T13:30:00";201804194.12555555;208719080.18666667;152829258.98;156100721.46555555;;;;;;222681082.92;;;;;;;;;;255790387.18666667;290344556.67333335;228251733.64;;
